OTU_ID	Turicibacteraceae_denovo100756	Bacteroidales_denovo10173	Clostridiales_denovo102587	Ruminococcaceae_denovo102843	Clostridiales_denovo106718	Lactobacillaceae_denovo106827	RF39_denovo115899	Clostridiales_denovo120556	Clostridiales_denovo120932	Lachnospiraceae_denovo125573	Clostridiaceae_denovo126515	Bacteroidales_denovo128655	Clostridiales_denovo13487	Lachnospiraceae_denovo135345	Clostridiales_denovo135866	Lactobacillaceae_denovo136233	Lactobacillaceae_denovo139763	Lachnospiraceae_denovo145496	Clostridiales_denovo146153	Lachnospiraceae_denovo146537	Clostridiales_denovo147899	Clostridiales_denovo151126	Clostridiales_denovo155169	Lachnospiraceae_denovo15891	Clostridiales_denovo16548	Lachnospiraceae_denovo16916	Ruminococcaceae_denovo18221	Clostridiales_denovo19145	[Paraprevotellaceae]_denovo21690	Lachnospiraceae_denovo2281	Clostridiales_denovo24794	Bacteroidales_denovo2846	Clostridiales_denovo31587	Ruminococcaceae_denovo40343	Clostridiales_denovo41238	Clostridiales_denovo4187	S24-7_denovo44661	Lachnospiraceae_denovo45881	S24-7_denovo45929	Lachnospiraceae_denovo46110	Bacteroidales_denovo46779	Lactobacillaceae_denovo4701	Bacteroidales_denovo52943	Clostridiales_denovo5577	Bacteroidaceae_denovo57470	Clostridiales_denovo58760	Clostridiales_denovo60687	Clostridiales_denovo63815	Clostridiales_denovo68168	Alcaligenaceae_denovo71630	Lachnospiraceae_denovo79490	Ruminococcaceae_denovo80874	Clostridiales_denovo92104	RF39_denovo96765	time_point	Treatment
340.T2	136	661	0	15	0	3	1	0	0	0	6	5	1	1	0	2	559	0	1	6	2	0	143	0	0	0	0	37	0	0	4	7	0	0	1	0	3	0	1	0	5	431	2	0	3	2	1	32	0	5	2	1	2	2	2	Placebo
341.T2	81	471	6	6	0	1	1	3	0	0	4	4	0	0	0	1	118	4	1	40	2	1	12	1	3	0	0	2	0	11	0	1	0	0	0	0	5	1	3	1	4	54	1	0	5	0	1	0	0	1	19	4	0	0	2	Placebo
342.T2	14	1057	203	4	1	0	0	1	1	0	1	9	2	1	0	0	10	4	2	0	28	0	33	0	1	0	0	10	0	1	0	2	8	2	15	0	0	0	0	9	9	11	5	1	2	1	13	4	2	3	4	7	1	0	2	Placebo
344.T2	3	158	4	0	0	0	0	0	0	0	1	3	2	0	5	0	11	0	0	0	12	0	1182	0	12	11	1	405	0	10	18	3	8	5	0	0	4	15	0	1	0	10	0	0	0	0	56	0	0	1	41	4	0	2	2	Placebo
345.T2	6	1580	1	2	0	6	0	0	0	0	0	10	0	1	42	0	304	0	2	26	4	0	144	3	1	4	0	57	0	2	1	13	0	0	1	0	4	17	2	1	14	315	3	2	0	0	21	7	1	2	1	1	0	0	2	Placebo
347.T2	5	1773	0	2	0	9	0	0	6	0	0	16	0	0	1	10	977	0	0	0	7	1	61	1	2	0	1	9	0	3	2	12	0	1	0	1	16	0	5	0	16	1028	5	3	1	0	3	7	0	3	0	2	0	0	2	Placebo
348.T2	2	801	1	1	1	0	1	2	0	0	0	11	0	3	35	0	117	0	0	9	4	0	10	0	0	3	0	3	0	4	0	7	1	0	0	0	2	1	1	3	4	61	5	95	0	0	4	0	0	4	2	2	0	1	2	Placebo
349.T2	4	907	2	3	0	0	0	2	4	0	0	12	19	0	8	0	5	65	1	9	4	1	239	2	0	1	0	3	0	4	1	1	0	0	20	1	5	0	4	6	11	7	4	1	1	0	1	0	0	0	36	3	0	0	2	Placebo
351.T2	33	121	1	1	4	0	3	2	0	4	1	1	31	0	0	2	78	16	1	1	16	2	112	0	0	19	60	3	0	2	1	2	7	4	24	0	6	0	0	0	3	83	2	1	0	0	7	70	1	2	0	2	1	9	2	Letrozole
352.T2	213	17	1	169	1	0	0	0	1	11	1	0	1	1	0	0	6	1	74	0	178	0	10	0	1	0	0	1	7	0	0	0	0	2	0	0	33	0	0	0	0	7	0	12	3	5	0	252	0	11	0	2	11	0	2	Letrozole
353.T2	134	37	1	59	2	1	4	0	0	1	3	1	2	0	0	0	17	0	227	2	146	2	41	0	1	0	1	13	1	1	1	0	0	2	0	0	15	3	0	2	0	11	0	0	2	0	5	3	0	11	2	4	0	2	2	Letrozole
355.T2	2	55	0	17	0	0	2	0	1	0	0	1	2	0	0	0	87	0	3	0	14	0	14	0	1	0	27	19	1	0	0	0	0	0	0	4	29	0	0	0	0	35	0	3	4	1	8	23	0	1	2	0	3	0	2	Letrozole
356.T2	8	1055	0	0	0	1	0	0	3	8	1	9	1	1	0	0	75	0	1	1	0	4	28	1	0	3	0	1	1	0	0	5	0	1	0	0	44	0	1	0	11	29	2	1	1	9	3	73	0	30	2	3	7	9	2	Letrozole
359.T2	57	274	0	0	2	0	30	2	0	1	0	3	1	0	0	0	8	18	1	34	2	2	175	0	2	0	27	32	3	0	0	2	1	1	0	0	2	0	0	17	5	5	2	1	7	0	1	6	1	10	3	0	0	30	2	Letrozole
360.T2	3	362	0	83	0	0	0	0	1	0	1	4	0	0	0	0	8	2	37	10	1	0	11	0	0	0	0	4	2	0	0	2	0	3	0	1	8	4	1	0	0	13	0	1	2	16	0	125	2	10	0	0	7	2	2	Letrozole
361.T2	2	209	4	14	0	0	3	0	0	0	1	4	0	0	2	0	8	1	0	0	0	0	18	0	0	0	0	5	1	1	1	3	0	1	1	1	6	0	1	0	2	6	2	1	2	2	5	27	5	7	1	1	3	1	2	Letrozole
