OTU_ID,new.col
denovo137537,Clostridiales_denovo137537
denovo37041,Clostridiales_denovo37041
denovo126386,Ruminococcaceae_denovo126386
denovo18123,Lachnospiraceae_denovo18123
denovo24911,Clostridiales_denovo24911
denovo212807,Erysipelotrichaceae_denovo212807
denovo105447,[Odoribacteraceae]_denovo105447
denovo94378,Ruminococcaceae_denovo94378
denovo78281,Clostridiales_denovo78281
denovo183158,Erysipelotrichaceae_denovo183158
denovo96436,Clostridiales_denovo96436
denovo146686,Lactobacillaceae_denovo146686
denovo105779,Lachnospiraceae_denovo105779
denovo116759,Bacteroidales_denovo116759
denovo222,RF39_denovo222
denovo7221,Ruminococcaceae_denovo7221
denovo219613,Lachnospiraceae_denovo219613
denovo179077,Lachnospiraceae_denovo179077
denovo195879,Clostridiales_denovo195879
denovo25233,Clostridiales_denovo25233
denovo265975,Rikenellaceae_denovo265975
denovo114016,Lachnospiraceae_denovo114016
denovo235763,Verrucomicrobiaceae_denovo235763
denovo261738,Lachnospiraceae_denovo261738
denovo122663,Clostridiales_denovo122663
denovo191090,S24-7_denovo191090
denovo104808,Ruminococcaceae_denovo104808
denovo282169,Lachnospiraceae_denovo282169
denovo63866,Clostridiales_denovo63866
denovo200986,Clostridiales_denovo200986
denovo56632,Lachnospiraceae_denovo56632
denovo296598,Lachnospiraceae_denovo296598
denovo255839,Clostridiales_denovo255839
denovo194539,Lachnospiraceae_denovo194539
denovo21549,Turicibacteraceae_denovo21549
denovo48918,Lachnospiraceae_denovo48918
denovo166520,Lactobacillaceae_denovo166520
denovo106781,Clostridiales_denovo106781
denovo17535,Clostridiales_denovo17535
denovo230276,Clostridiales_denovo230276
denovo289863,Clostridiales_denovo289863
denovo71608,Clostridiales_denovo71608
denovo272497,Clostridiales_denovo272497
denovo3433,Clostridiales_denovo3433
denovo274020,Lachnospiraceae_denovo274020
denovo137558,Clostridiales_denovo137558
denovo146209,Clostridiales_denovo146209
denovo158036,Ruminococcaceae_denovo158036
denovo182943,Lachnospiraceae_denovo182943
denovo20841,Erysipelotrichaceae_denovo20841
denovo217363,Lachnospiraceae_denovo217363
denovo65277,Clostridiales_denovo65277
denovo107847,Lachnospiraceae_denovo107847
denovo47867,Clostridiales_denovo47867
denovo103326,Lachnospiraceae_denovo103326
denovo304282,Lachnospiraceae_denovo304282
denovo143463,Lachnospiraceae_denovo143463
denovo107864,Lachnospiraceae_denovo107864
